price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,garage,kitchen_type,water_softener,bathrooms,solar_panels,heating_type,heat_pump,air_conditioning,alarm,parking_places_outdoor,garden_surface,garden_orientation,terrace_surface,terrace_orientation,land_surface,sewer_connection,running_water,primary_energy_consumption,certification_electrical_installation,certification_gasoil_tank,planning_permission_granted,preemption_right,demarcated_flooding_area,surroundings_protected,opportunity_for_professional,wash_room,leased,living_room_surface,attic,glazing_type,elevator,entry_phone,security_door,access_disabled,apartement_floor,front_facade_orientation,number_floors,toilets,cadastral_income,vat,property_subtype,postal_code,property_type,area_missing,build_year_missing,garden_surface_missing,terrace_surface_missing,land_surface_missing,primary_energy_consumption_missing,living_room_surface_missing,cadastral_income_missing
335000.0,13,100.0,2,1,2,1,0,2,1,2011.0,2,1,2,2,0,2,5,2,2,2,0,200.0,1,11.0,1,405.0,2,1,166.0,0,0,2,2,0,2,2,0,0,32.0,2,0,1,1,2,2,23,0,1,18,800.0,1,0,2018,0,0,1,1,0,1,0,1,1
480000.0,20,126.0,4,1,2,1,0,2,0,2006.0,2,0,4,2,7,2,3,2,2,2,0,200.0,1,6.0,1,405.0,1,1,95.0,2,0,0,1,0,2,2,0,2,32.0,2,0,1,1,1,2,11,0,25,7,1666.0,1,0,2600,0,0,0,1,0,1,0,1,0
389500.0,13,95.0,0,4,2,1,2,2,1,2011.0,2,1,2,2,19,2,6,2,2,2,0,200.0,1,20.0,1,405.0,2,2,232.0,0,0,2,2,0,2,2,0,2,32.0,2,1,2,2,2,2,1,0,15,18,800.0,0,0,2000,0,0,1,1,0,1,1,1,1
1950000.0,20,185.0,0,4,2,1,2,2,1,2011.0,2,1,2,2,19,2,6,2,2,2,0,200.0,1,75.0,1,405.0,2,2,232.0,0,0,2,2,0,2,2,0,2,32.0,2,1,2,2,2,2,13,0,15,18,800.0,0,18,2000,0,0,1,1,0,1,1,1,1
239000.0,13,90.0,0,4,0,1,0,2,1,1968.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,4.0,1,405.0,2,1,230.0,1,0,2,0,0,2,2,0,0,25.0,2,1,1,2,2,2,18,0,22,0,934.0,1,0,2100,0,0,0,1,0,1,0,0,0
249000.0,1,62.0,3,1,0,1,0,0,4,2025.0,2,1,2,2,0,1,5,2,2,2,0,200.0,1,8.0,0,405.0,1,1,232.0,2,0,0,0,0,2,2,0,0,27.0,2,0,0,2,2,0,1,0,11,0,800.0,0,0,2610,0,0,0,1,0,1,1,0,1
229900.0,13,73.0,4,4,0,1,0,2,1,1958.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,4.0,1,405.0,2,2,286.0,2,0,2,2,0,2,2,0,0,35.0,2,1,0,2,2,2,11,0,11,0,622.0,1,0,2170,0,0,0,1,0,1,0,0,0
315000.0,13,91.0,2,4,2,1,0,2,1,1958.0,2,1,2,2,0,2,6,2,0,0,0,200.0,1,40.0,1,405.0,2,2,232.0,0,0,2,0,0,0,2,0,0,32.0,2,0,1,2,2,0,0,0,25,0,800.0,1,0,2020,0,0,0,1,0,1,1,1,1
229900.0,13,73.0,4,4,0,1,0,2,1,1958.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,4.0,1,405.0,2,2,286.0,2,0,2,2,0,2,2,0,0,35.0,2,1,0,2,2,2,11,0,11,0,622.0,1,0,2170,0,0,0,1,0,1,0,0,0
259000.0,20,97.0,4,2,0,1,0,2,1,1963.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,3.0,1,405.0,2,1,198.0,1,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,11,0,20,0,944.0,1,0,2100,0,0,0,1,0,1,0,1,0
299000.0,13,100.0,0,2,0,1,1,2,1,2011.0,2,0,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,185.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,27,0,30,0,800.0,1,9,2170,0,0,1,1,1,1,0,1,1
235000.0,1,51.0,4,1,0,0,1,2,1,1975.0,2,1,2,2,0,2,3,2,2,2,0,483.0,1,14.0,1,405.0,2,1,247.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,15,0,26,0,498.0,1,0,2018,0,0,0,0,1,1,0,1,0
439000.0,13,83.0,4,2,0,1,0,2,1,2010.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,4.0,1,405.0,2,1,125.0,2,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,2,0,14,0,800.0,1,0,2000,0,0,0,1,0,1,0,1,1
119000.0,31,34.0,5,3,2,1,0,2,1,1965.0,2,1,2,2,0,2,3,2,2,2,0,200.0,1,14.0,1,405.0,2,1,300.0,0,0,2,2,0,2,2,0,0,26.0,2,2,1,2,2,2,15,0,22,0,632.0,1,0,2018,0,0,0,1,1,1,0,0,0
289000.0,13,123.0,4,4,0,1,0,2,1,1975.0,2,1,2,2,7,2,5,2,2,2,0,200.0,1,14.0,1,405.0,2,2,232.0,1,0,2,0,0,2,2,0,0,32.0,2,1,1,2,2,2,23,0,30,7,2320.0,1,0,2600,0,0,0,1,1,1,1,1,0
